====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  C   Energy = 2500 keV
============= TARGET MATERIAL ======================================
Layer 1 : Carbon Dioxide (ICRU-134)
Layer Width = 10000.E+05 A ;
  Layer # 1- Density = 1.890E19 atoms/cm3 = .0004 g/cm3
  Layer # 1-  C = 33.3 Atomic Percent = 27.2 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 72.7 Mass Percent
====================================================================
 Total Ions calculated =002000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E+01  3099.73E-05  9830.07E-09
300000.E+01  3080.36E-05  1922.01E-08
450000.E+01  3064.15E-05  2485.78E-07
600000.E+01  3054.07E-05  7162.65E-08
750000.E+01  3049.27E-05  8963.85E-08
900000.E+01  3032.21E-05  1706.48E-08
105000.E+02  3012.69E-05  2983.18E-07
120000.E+02  2991.55E-05  9749.16E-08
135000.E+02  2980.66E-05  1681.52E-08
150000.E+02  2958.12E-05  5489.78E-07
165000.E+02  2944.94E-05  1456.28E-08
180000.E+02  2926.71E-05  1563.93E-08
195000.E+02  2903.27E-05  2544.82E-08
210000.E+02  2885.50E-05  6093.52E-08
225000.E+02  2868.38E-05  2409.14E-08
240000.E+02  2841.61E-05  1729.68E-08
255000.E+02  2810.89E-05  1951.04E-08
270000.E+02  2791.92E-05  1765.80E-08
285000.E+02  2768.26E-05  2323.55E-08
300000.E+02  2734.41E-05  2856.95E-08
315000.E+02  2712.53E-05  4602.20E-08
330000.E+02  2685.42E-05  1911.59E-08
345000.E+02  2643.29E-05  6975.24E-08
360000.E+02  2634.97E-05  2041.69E-08
375000.E+02  2600.43E-05  7610.98E-08
390000.E+02  2575.69E-05  4118.14E-08
405000.E+02  2545.22E-05  4833.14E-08
420000.E+02  2511.21E-05  1939.67E-08
435000.E+02  2484.40E-05  5689.79E-08
450000.E+02  2442.35E-05  7031.35E-08
465000.E+02  2415.46E-05  3672.18E-07
480000.E+02  2370.22E-05  4611.66E-08
495000.E+02  2329.31E-05  9936.97E-08
510000.E+02  2299.05E-05  3393.51E-07
525000.E+02  2268.68E-05  5256.80E-08
540000.E+02  2235.35E-05  3130.63E-08
555000.E+02  2192.79E-05  8253.69E-08
570000.E+02  2148.80E-05  1548.95E-07
585000.E+02  2117.97E-05  4183.76E-08
600000.E+02  2082.16E-05  1016.39E-07
615000.E+02  2033.48E-05  4035.21E-08
630000.E+02  2004.54E-05  2657.90E-07
645000.E+02  1973.96E-05  1291.29E-07
660000.E+02  1922.31E-05  2086.64E-07
675000.E+02  1887.64E-05  7216.48E-08
690000.E+02  1843.42E-05  3625.95E-08
705000.E+02  1790.86E-05  9957.73E-08
720000.E+02  1754.44E-05  1345.66E-07
735000.E+02  1716.05E-05  1635.51E-07
750000.E+02  1681.88E-05  1174.52E-07
765000.E+02  1634.91E-05  6041.40E-08
780000.E+02  1594.49E-05  1560.31E-07
795000.E+02  1549.71E-05  6282.81E-08
810000.E+02  1507.16E-05  8174.31E-08
825000.E+02  1476.26E-05  8087.44E-08
840000.E+02  1437.43E-05  1780.58E-07
855000.E+02  1408.11E-05  6431.87E-08
870000.E+02  1361.28E-05  1387.68E-07
885000.E+02  1330.48E-05  1703.86E-07
900000.E+02  1286.51E-05  1614.88E-07
915000.E+02  1235.73E-05  3418.25E-07
930000.E+02  1210.59E-05  1417.23E-07
945000.E+02  1166.33E-05  2131.91E-07
960000.E+02  1138.30E-05  1064.58E-07
975000.E+02  1101.04E-05  1879.76E-07
990000.E+02  1060.80E-05  1837.30E-07
100500.E+03  1038.50E-05  1525.90E-07
102000.E+03  1001.03E-05  2177.02E-07
103500.E+03  9631.39E-06  3494.78E-07
105000.E+03  9388.74E-06  2086.83E-07
106500.E+03  9082.79E-06  2451.40E-07
108000.E+03  8774.76E-06  2683.91E-07
109500.E+03  8354.89E-06  2508.69E-07
111000.E+03  8173.58E-06  3023.72E-07
112500.E+03  7796.20E-06  2062.28E-07
114000.E+03  7549.34E-06  3462.61E-07
115500.E+03  7262.03E-06  3476.56E-07
117000.E+03  6958.63E-06  3306.65E-07
118500.E+03  6662.06E-06  4274.67E-07
120000.E+03  6276.11E-06  4454.18E-07
121500.E+03  5928.02E-06  4322.58E-07
123000.E+03  5559.79E-06  5345.71E-07
124500.E+03  5007.75E-06  5479.40E-07
126000.E+03  4455.65E-06  6541.11E-07
127500.E+03  3874.64E-06  5746.51E-07
129000.E+03  3180.20E-06  5616.25E-07
130500.E+03  2459.59E-06  5054.64E-07
132000.E+03  1802.83E-06  4183.99E-07
133500.E+03  1230.25E-06  3245.91E-07
135000.E+03  7138.99E-07  2227.59E-07
136500.E+03  3925.48E-07  1197.08E-07
138000.E+03  1737.81E-07  6603.06E-08
139500.E+03  7119.92E-08  2783.40E-08
141000.E+03  2765.93E-08  9951.94E-09
142500.E+03  1097.50E-08  3786.96E-09
144000.E+03  1696.02E-09  1232.75E-09
145500.E+03  0000.00E+00  0000.00E+00
147000.E+03  0000.00E+00  0000.00E+00
148500.E+03  0000.00E+00  0000.00E+00
150000.E+03  0000.00E+00  0000.00E+00
