#====== H (10) into Layer 1                      =======
#        SRIM-2013.00
#========================================
#      Ion and Recoil IONIZATION     
# See SRIM Outputs\TDATA.txt for details   
#========================================
#--------------------------------------------------------------------
#    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
#--------------------------------------------------------------------
# See file :  SRIM Outputs\TDATA.txt   for calculation data
# Ion    =  C   Energy = 5000 keV
#============= TARGET MATERIAL ======================================
#Layer 1 : Carbon Dioxide (ICRU-134)
#Layer Width = 30000.E+05 A ;
#  Layer # 1- Density = 1.398E19 atoms/cm3 = 3.406 g/cm3
#  Layer # 1-  C = 33.3 Atomic Percent = 27.2 Mass Percent
#  Layer # 1-  O = 66.6 Atomic Percent = 72.7 Mass Percent
#====================================================================
# Total Ions calculated =000999.00
#===============================================================
#  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
#===============================================================
#
#  TARGET       IONIZ.       IONIZ.  
#  DEPTH         by           by     
#  (Ang)        IONS         RECOILS 
#-----------  -----------  -----------
500000.E+01  2320.80E-05  9748.46E-09
100000.E+02  2322.50E-05  1111.00E-08
150000.E+02  2315.62E-05  6672.55E-09
200000.E+02  2325.13E-05  8438.48E-09
250000.E+02  2324.34E-05  2002.69E-08
300000.E+02  2325.31E-05  7679.23E-09
350000.E+02  2321.98E-05  1302.10E-08
400000.E+02  2324.56E-05  8845.91E-08
450000.E+02  2320.86E-05  1925.63E-08
500000.E+02  2321.91E-05  1979.77E-08
550000.E+02  2312.31E-05  1217.42E-08
600000.E+02  2307.28E-05  9496.90E-09
650000.E+02  2294.09E-05  1107.45E-08
700000.E+02  2288.65E-05  1046.36E-08
750000.E+02  2276.11E-05  8024.66E-09
800000.E+02  2271.24E-05  4595.36E-07
850000.E+02  2250.29E-05  1712.89E-08
900000.E+02  2242.92E-05  1636.35E-08
950000.E+02  2219.62E-05  6304.74E-09
100000.E+03  2219.05E-05  8812.21E-09
105000.E+03  2185.84E-05  4647.12E-07
110000.E+03  2159.15E-05  1713.47E-08
115000.E+03  2135.98E-05  3791.24E-08
120000.E+03  2107.81E-05  4340.99E-08
125000.E+03  2076.76E-05  1246.88E-08
130000.E+03  2037.08E-05  4028.87E-07
135000.E+03  2010.82E-05  1978.88E-08
140000.E+03  1968.94E-05  1791.19E-08
145000.E+03  1927.86E-05  1168.21E-07
150000.E+03  1887.91E-05  1737.90E-08
155000.E+03  1842.41E-05  2586.29E-08
160000.E+03  1798.37E-05  2636.15E-08
165000.E+03  1750.24E-05  2484.85E-08
170000.E+03  1692.41E-05  3898.43E-08
175000.E+03  1640.00E-05  5476.51E-08
180000.E+03  1589.67E-05  3556.88E-08
185000.E+03  1533.75E-05  9333.46E-08
190000.E+03  1480.95E-05  3919.70E-08
195000.E+03  1425.95E-05  3057.50E-07
200000.E+03  1359.21E-05  3570.11E-08
205000.E+03  1299.63E-05  1031.68E-07
210000.E+03  1245.51E-05  9691.10E-08
215000.E+03  1186.19E-05  5647.09E-08
220000.E+03  1120.53E-05  9139.17E-08
225000.E+03  1057.23E-05  1167.96E-07
230000.E+03  1008.42E-05  2546.47E-07
235000.E+03  9497.87E-06  1028.98E-07
240000.E+03  8957.26E-06  1307.72E-07
245000.E+03  8428.23E-06  1035.47E-07
250000.E+03  7815.04E-06  1131.60E-07
255000.E+03  7359.04E-06  2048.13E-07
260000.E+03  6830.11E-06  1818.69E-07
265000.E+03  6361.40E-06  1901.37E-07
270000.E+03  5899.93E-06  1899.31E-07
275000.E+03  5453.25E-06  2185.02E-07
280000.E+03  5053.39E-06  2966.74E-07
285000.E+03  4506.25E-06  3239.06E-07
290000.E+03  4019.80E-06  4028.58E-07
295000.E+03  3290.77E-06  4389.16E-07
300000.E+03  2419.89E-06  4356.83E-07
305000.E+03  1411.45E-06  3407.41E-07
310000.E+03  5802.99E-07  1828.15E-07
315000.E+03  1501.15E-07  5557.41E-08
320000.E+03  2411.18E-08  1001.21E-08
325000.E+03  2498.99E-09  1267.18E-09
330000.E+03  0000.00E+00  0000.00E+00
335000.E+03  0000.00E+00  0000.00E+00
340000.E+03  0000.00E+00  0000.00E+00
345000.E+03  0000.00E+00  0000.00E+00
350000.E+03  0000.00E+00  0000.00E+00
355000.E+03  0000.00E+00  0000.00E+00
360000.E+03  0000.00E+00  0000.00E+00
365000.E+03  0000.00E+00  0000.00E+00
370000.E+03  0000.00E+00  0000.00E+00
375000.E+03  0000.00E+00  0000.00E+00
380000.E+03  0000.00E+00  0000.00E+00
385000.E+03  0000.00E+00  0000.00E+00
390000.E+03  0000.00E+00  0000.00E+00
395000.E+03  0000.00E+00  0000.00E+00
400000.E+03  0000.00E+00  0000.00E+00
405000.E+03  0000.00E+00  0000.00E+00
410000.E+03  0000.00E+00  0000.00E+00
415000.E+03  0000.00E+00  0000.00E+00
420000.E+03  0000.00E+00  0000.00E+00
425000.E+03  0000.00E+00  0000.00E+00
430000.E+03  0000.00E+00  0000.00E+00
435000.E+03  0000.00E+00  0000.00E+00
440000.E+03  0000.00E+00  0000.00E+00
445000.E+03  0000.00E+00  0000.00E+00
450000.E+03  0000.00E+00  0000.00E+00
455000.E+03  0000.00E+00  0000.00E+00
460000.E+03  0000.00E+00  0000.00E+00
465000.E+03  0000.00E+00  0000.00E+00
470000.E+03  0000.00E+00  0000.00E+00
475000.E+03  0000.00E+00  0000.00E+00
480000.E+03  0000.00E+00  0000.00E+00
485000.E+03  0000.00E+00  0000.00E+00
490000.E+03  0000.00E+00  0000.00E+00
495000.E+03  0000.00E+00  0000.00E+00
500000.E+03  0000.00E+00  0000.00E+00
