#====== H (10) into Layer 1                      =======
#        SRIM-2013.00
#========================================
#      Ion and Recoil IONIZATION     
# See SRIM Outputs\TDATA.txt for details   
#========================================
#--------------------------------------------------------------------
#    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
#--------------------------------------------------------------------
# See file :  SRIM Outputs\TDATA.txt   for calculation data
# Ion    = He   Energy = 10000 keV
#============= TARGET MATERIAL ======================================
#Layer 1 : Carbon Dioxide (ICRU-134)
#Layer Width = 10000.E+06 A ;
#  Layer # 1- Density = 1.398E19 atoms/cm3 = 3.406 g/cm3
#  Layer # 1-  C = 33.3 Atomic Percent = 27.2 Mass Percent
#  Layer # 1-  O = 66.6 Atomic Percent = 72.7 Mass Percent
#====================================================================
# Total Ions calculated =000999.00
#===============================================================
#  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
#===============================================================
#
#  TARGET       IONIZ.       IONIZ.  
#  DEPTH         by           by     
#  (Ang)        IONS         RECOILS 
#-----------  -----------  -----------
500000.E+02  1573.39E-06  2943.41E-11
100000.E+03  1586.88E-06  4967.70E-11
150000.E+03  1599.03E-06  3312.03E-10
200000.E+03  1605.97E-06  5039.33E-11
250000.E+03  1619.66E-06  1168.21E-10
300000.E+03  1621.68E-06  7783.80E-11
350000.E+03  1635.48E-06  1402.13E-09
400000.E+03  1646.51E-06  6897.65E-11
450000.E+03  1652.11E-06  4552.99E-11
500000.E+03  1671.27E-06  8560.84E-11
550000.E+03  1678.56E-06  7685.81E-11
600000.E+03  1691.83E-06  2085.50E-10
650000.E+03  1708.99E-06  5530.57E-11
700000.E+03  1727.77E-06  9029.25E-11
750000.E+03  1735.86E-06  2206.07E-10
800000.E+03  1745.71E-06  1436.04E-10
850000.E+03  1765.04E-06  1029.15E-10
900000.E+03  1772.49E-06  2271.64E-10
950000.E+03  1784.09E-06  2273.03E-10
100000.E+04  1799.30E-06  6691.80E-11
105000.E+04  1817.15E-06  1007.50E-10
110000.E+04  1831.45E-06  2412.84E-10
115000.E+04  1844.11E-06  7018.70E-11
120000.E+04  1858.62E-06  1543.91E-10
125000.E+04  1876.31E-06  6137.77E-11
130000.E+04  1892.62E-06  2200.32E-10
135000.E+04  1912.52E-06  2214.45E-10
140000.E+04  1926.59E-06  6394.86E-10
145000.E+04  1939.13E-06  1746.99E-10
150000.E+04  1958.78E-06  8617.07E-11
155000.E+04  1982.09E-06  1341.70E-10
160000.E+04  1996.42E-06  6703.18E-11
165000.E+04  2020.44E-06  1032.19E-10
170000.E+04  2032.48E-06  1836.60E-10
175000.E+04  2056.56E-06  1208.41E-10
180000.E+04  2081.43E-06  1304.30E-10
185000.E+04  2101.57E-06  8484.09E-11
190000.E+04  2125.38E-06  4327.88E-10
195000.E+04  2151.23E-06  1193.32E-10
200000.E+04  2173.10E-06  1952.27E-10
205000.E+04  2202.66E-06  1614.19E-10
210000.E+04  2230.55E-06  1360.87E-10
215000.E+04  2261.07E-06  3266.61E-10
220000.E+04  2296.04E-06  5407.81E-10
225000.E+04  2322.28E-06  5132.47E-09
230000.E+04  2358.27E-06  1123.76E-10
235000.E+04  2395.32E-06  1130.62E-10
240000.E+04  2432.40E-06  9677.02E-11
245000.E+04  2468.34E-06  1389.06E-09
250000.E+04  2510.67E-06  1362.83E-10
255000.E+04  2548.63E-06  2666.02E-10
260000.E+04  2606.50E-06  3397.55E-08
265000.E+04  2656.89E-06  1325.38E-10
270000.E+04  2699.11E-06  2300.83E-09
275000.E+04  2728.57E-06  4640.75E-10
280000.E+04  2795.39E-06  3324.76E-10
285000.E+04  2858.75E-06  5518.19E-10
290000.E+04  2922.33E-06  1812.29E-10
295000.E+04  2991.24E-06  4679.99E-10
300000.E+04  3061.18E-06  3538.86E-10
305000.E+04  3138.73E-06  7891.54E-10
310000.E+04  3235.99E-06  3703.85E-10
315000.E+04  3332.78E-06  3298.42E-10
320000.E+04  3439.33E-06  2634.64E-10
325000.E+04  3552.03E-06  2656.80E-10
330000.E+04  3697.33E-06  4726.41E-10
335000.E+04  3848.38E-06  1077.84E-09
340000.E+04  4019.00E-06  3848.53E-10
345000.E+04  4221.12E-06  7374.35E-10
350000.E+04  4449.02E-06  4804.25E-10
355000.E+04  4714.75E-06  6021.03E-10
360000.E+04  5020.46E-06  5568.43E-10
365000.E+04  5373.94E-06  8984.84E-10
370000.E+04  5719.29E-06  9878.81E-10
375000.E+04  5878.44E-06  6594.43E-09
380000.E+04  5432.08E-06  4122.70E-09
385000.E+04  3964.29E-06  1067.43E-08
390000.E+04  1698.56E-06  1798.47E-08
395000.E+04  2574.21E-07  5582.95E-09
400000.E+04  1142.64E-08  4878.16E-10
405000.E+04  0000.00E+00  0000.00E+00
410000.E+04  0000.00E+00  0000.00E+00
415000.E+04  0000.00E+00  0000.00E+00
420000.E+04  0000.00E+00  0000.00E+00
425000.E+04  0000.00E+00  0000.00E+00
430000.E+04  0000.00E+00  0000.00E+00
435000.E+04  0000.00E+00  0000.00E+00
440000.E+04  0000.00E+00  0000.00E+00
445000.E+04  0000.00E+00  0000.00E+00
450000.E+04  0000.00E+00  0000.00E+00
455000.E+04  0000.00E+00  0000.00E+00
460000.E+04  0000.00E+00  0000.00E+00
465000.E+04  0000.00E+00  0000.00E+00
470000.E+04  0000.00E+00  0000.00E+00
475000.E+04  0000.00E+00  0000.00E+00
480000.E+04  0000.00E+00  0000.00E+00
485000.E+04  0000.00E+00  0000.00E+00
490000.E+04  0000.00E+00  0000.00E+00
495000.E+04  0000.00E+00  0000.00E+00
500000.E+04  0000.00E+00  0000.00E+00
