#====== H (10) into Layer 1                      =======
#        SRIM-2013.00
#========================================
#      Ion and Recoil IONIZATION     
# See SRIM Outputs\TDATA.txt for details   
#========================================
#--------------------------------------------------------------------
#    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
#--------------------------------------------------------------------
# See file :  SRIM Outputs\TDATA.txt   for calculation data
# Ion    = He   Energy = 10000 keV
#============= TARGET MATERIAL ======================================
#Layer 1 : Carbon Dioxide (ICRU-134)
#Layer Width = 50000.E+05 A ;
#  Layer # 1- Density = 1.890E19 atoms/cm3 = .0004 g/cm3
#  Layer # 1-  C = 33.3 Atomic Percent = 27.2 Mass Percent
#  Layer # 1-  O = 66.6 Atomic Percent = 72.7 Mass Percent
#====================================================================
# Total Ions calculated =004000.00
#===============================================================
#  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
#===============================================================
#
#  TARGET       IONIZ.       IONIZ.  
#  DEPTH         by           by     
#  (Ang)        IONS         RECOILS 
#-----------  -----------  -----------
350000.E+02  2133.11E-06  3243.49E-10
700000.E+02  2134.14E-06  9912.76E-11
105000.E+03  2146.84E-06  1645.59E-10
140000.E+03  2160.47E-06  1577.31E-10
175000.E+03  2171.76E-06  2225.68E-10
210000.E+03  2184.61E-06  1408.86E-10
245000.E+03  2200.03E-06  2504.80E-10
280000.E+03  2220.60E-06  2496.22E-10
315000.E+03  2232.74E-06  1155.63E-10
350000.E+03  2252.75E-06  1107.76E-10
385000.E+03  2263.94E-06  1129.20E-10
420000.E+03  2279.97E-06  1960.69E-10
455000.E+03  2296.80E-06  3642.34E-10
490000.E+03  2318.67E-06  1455.07E-10
525000.E+03  2332.85E-06  2260.06E-10
560000.E+03  2349.37E-06  2470.35E-10
595000.E+03  2366.35E-06  1285.77E-08
630000.E+03  2383.36E-06  3920.44E-10
665000.E+03  2399.50E-06  1915.93E-10
700000.E+03  2422.77E-06  2130.78E-10
735000.E+03  2438.97E-06  2553.55E-09
770000.E+03  2456.27E-06  1484.27E-10
805000.E+03  2473.27E-06  1413.82E-10
840000.E+03  2492.89E-06  5012.11E-09
875000.E+03  2509.52E-06  1915.72E-10
