#====== H (10) into Layer 1                      =======
#        SRIM-2013.00
#========================================
#      Ion and Recoil IONIZATION     
# See SRIM Outputs\TDATA.txt for details   
#========================================
#--------------------------------------------------------------------
#    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
#--------------------------------------------------------------------
# See file :  SRIM Outputs\TDATA.txt   for calculation data
# Ion    =  C   Energy = 5000 keV
#============= TARGET MATERIAL ======================================
#Layer 1 : Carbon Dioxide (ICRU-134)
#Layer Width = 30000.E+05 A ;
#  Layer # 1- Density = 1.398E19 atoms/cm3 = 3.406 g/cm3
#  Layer # 1-  C = 33.3 Atomic Percent = 27.2 Mass Percent
#  Layer # 1-  O = 66.6 Atomic Percent = 72.7 Mass Percent
#====================================================================
# Total Ions calculated =000999.00
#===============================================================
#x(mm)	dEdx(keV/mm)
500000E-6	2320.80E-1
100000E-5	2322.50E-1
150000E-5	2315.62E-1
200000E-5	2325.13E-1
250000E-5	2324.34E-1
300000E-5	2325.31E-1
350000E-5	2321.98E-1
400000E-5	2324.56E-1
450000E-5	2320.86E-1
500000E-5	2321.91E-1
550000E-5	2312.31E-1
600000E-5	2307.28E-1
650000E-5	2294.09E-1
700000E-5	2288.65E-1
750000E-5	2276.11E-1
800000E-5	2271.24E-1
850000E-5	2250.29E-1
900000E-5	2242.92E-1
950000E-5	2219.62E-1
100000E-4	2219.05E-1
105000E-4	2185.84E-1
110000E-4	2159.15E-1
115000E-4	2135.98E-1
120000E-4	2107.81E-1
125000E-4	2076.76E-1
130000E-4	2037.08E-1
135000E-4	2010.82E-1
140000E-4	1968.94E-1
145000E-4	1927.86E-1
150000E-4	1887.91E-1
155000E-4	1842.41E-1
160000E-4	1798.37E-1
165000E-4	1750.24E-1
170000E-4	1692.41E-1
175000E-4	1640.00E-1
180000E-4	1589.67E-1
185000E-4	1533.75E-1
190000E-4	1480.95E-1
195000E-4	1425.95E-1
200000E-4	1359.21E-1
205000E-4	1299.63E-1
210000E-4	1245.51E-1
215000E-4	1186.19E-1
220000E-4	1120.53E-1
225000E-4	1057.23E-1
230000E-4	1008.42E-1
235000E-4	9497.87E-2
240000E-4	8957.26E-2
245000E-4	8428.23E-2
250000E-4	7815.04E-2
255000E-4	7359.04E-2
260000E-4	6830.11E-2
265000E-4	6361.40E-2
270000E-4	5899.93E-2
275000E-4	5453.25E-2
280000E-4	5053.39E-2
285000E-4	4506.25E-2
290000E-4	4019.80E-2
295000E-4	3290.77E-2
300000E-4	2419.89E-2
305000E-4	1411.45E-2
310000E-4	5802.99E-3
315000E-4	1501.15E-3
320000E-4	2411.18E-4
325000E-4	2498.99E-5
330000E-4	0000.00E+0
335000E-4	0000.00E+0
340000E-4	0000.00E+0
345000E-4	0000.00E+0
350000E-4	0000.00E+0
355000E-4	0000.00E+0
360000E-4	0000.00E+0
365000E-4	0000.00E+0
370000E-4	0000.00E+0
375000E-4	0000.00E+0
380000E-4	0000.00E+0
385000E-4	0000.00E+0
390000E-4	0000.00E+0
395000E-4	0000.00E+0
400000E-4	0000.00E+0
405000E-4	0000.00E+0
410000E-4	0000.00E+0
415000E-4	0000.00E+0
420000E-4	0000.00E+0
425000E-4	0000.00E+0
430000E-4	0000.00E+0
435000E-4	0000.00E+0
440000E-4	0000.00E+0
445000E-4	0000.00E+0
450000E-4	0000.00E+0
455000E-4	0000.00E+0
460000E-4	0000.00E+0
465000E-4	0000.00E+0
470000E-4	0000.00E+0
475000E-4	0000.00E+0
480000E-4	0000.00E+0
485000E-4	0000.00E+0
490000E-4	0000.00E+0
495000E-4	0000.00E+0
500000E-4	0000.00E+0
