#====== H (10) into Layer 1                      =======
#        SRIM-2013.00
#========================================
#      Ion and Recoil IONIZATION     
# See SRIM Outputs\TDATA.txt for details   
#========================================
#--------------------------------------------------------------------
#    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
#--------------------------------------------------------------------
# See file :  SRIM Outputs\TDATA.txt   for calculation data
# Ion    = He   Energy = 10000 keV
#============= TARGET MATERIAL ======================================
#Layer 1 : Carbon Dioxide (ICRU-134)
#Layer Width = 10000.E+06 A ;
#  Layer # 1- Density = 1.398E19 atoms/cm3 = 3.406 g/cm3
#  Layer # 1-  C = 33.3 Atomic Percent = 27.2 Mass Percent
#  Layer # 1-  O = 66.6 Atomic Percent = 72.7 Mass Percent
#====================================================================
# Total Ions calculated =000999.00
#===============================================================
#x(mm)	dEdx(keV/mm)
500000E-5	1573.39E-2
100000E-4	1586.88E-2
150000E-4	1599.03E-2
200000E-4	1605.97E-2
250000E-4	1619.66E-2
300000E-4	1621.68E-2
350000E-4	1635.48E-2
400000E-4	1646.51E-2
450000E-4	1652.11E-2
500000E-4	1671.27E-2
550000E-4	1678.56E-2
600000E-4	1691.83E-2
650000E-4	1708.99E-2
700000E-4	1727.77E-2
750000E-4	1735.86E-2
800000E-4	1745.71E-2
850000E-4	1765.04E-2
900000E-4	1772.49E-2
950000E-4	1784.09E-2
100000E-3	1799.30E-2
105000E-3	1817.15E-2
110000E-3	1831.45E-2
115000E-3	1844.11E-2
120000E-3	1858.62E-2
125000E-3	1876.31E-2
130000E-3	1892.62E-2
135000E-3	1912.52E-2
140000E-3	1926.59E-2
145000E-3	1939.13E-2
150000E-3	1958.78E-2
155000E-3	1982.09E-2
160000E-3	1996.42E-2
165000E-3	2020.44E-2
170000E-3	2032.48E-2
175000E-3	2056.56E-2
180000E-3	2081.43E-2
185000E-3	2101.57E-2
190000E-3	2125.38E-2
195000E-3	2151.23E-2
200000E-3	2173.10E-2
205000E-3	2202.66E-2
210000E-3	2230.55E-2
215000E-3	2261.07E-2
220000E-3	2296.04E-2
225000E-3	2322.28E-2
230000E-3	2358.27E-2
235000E-3	2395.32E-2
240000E-3	2432.40E-2
245000E-3	2468.34E-2
250000E-3	2510.67E-2
255000E-3	2548.63E-2
260000E-3	2606.50E-2
265000E-3	2656.89E-2
270000E-3	2699.11E-2
275000E-3	2728.57E-2
280000E-3	2795.39E-2
285000E-3	2858.75E-2
290000E-3	2922.33E-2
295000E-3	2991.24E-2
300000E-3	3061.18E-2
305000E-3	3138.73E-2
310000E-3	3235.99E-2
315000E-3	3332.78E-2
320000E-3	3439.33E-2
325000E-3	3552.03E-2
330000E-3	3697.33E-2
335000E-3	3848.38E-2
340000E-3	4019.00E-2
345000E-3	4221.12E-2
350000E-3	4449.02E-2
355000E-3	4714.75E-2
360000E-3	5020.46E-2
365000E-3	5373.94E-2
370000E-3	5719.29E-2
375000E-3	5878.44E-2
380000E-3	5432.08E-2
385000E-3	3964.29E-2
390000E-3	1698.56E-2
395000E-3	2574.21E-3
400000E-3	1142.64E-4
405000E-3	0000.00E+0
410000E-3	0000.00E+0
415000E-3	0000.00E+0
420000E-3	0000.00E+0
425000E-3	0000.00E+0
430000E-3	0000.00E+0
435000E-3	0000.00E+0
440000E-3	0000.00E+0
445000E-3	0000.00E+0
450000E-3	0000.00E+0
455000E-3	0000.00E+0
460000E-3	0000.00E+0
465000E-3	0000.00E+0
470000E-3	0000.00E+0
475000E-3	0000.00E+0
480000E-3	0000.00E+0
485000E-3	0000.00E+0
490000E-3	0000.00E+0
495000E-3	0000.00E+0
500000E-3	0000.00E+0
