# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> March 18, 2022 
# ==================================================================
#
# Disk File Name = SRIM Outputs\carbon12_CO2_250mbar.txt
#
# Ion = Carbon [6] , Mass = 12 amu
#
# Target Density =  4.5375E-04 g/cm3 = 1.8627E+19 atoms/cm3
# Target is a GAS 
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#      C      6    033.33    027.29   
#      O      8    066.67    072.71   
# ====================================
# Bragg Correction = -3.46%
# Stopping Units = 1E3 keV /1E3 um       
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.140E-02  2.964E-02  152.41 um    66.22 um    47.82 um  
  11.00 keV   2.245E-02  2.888E-02  167.30 um    71.36 um    51.75 um  
  12.00 keV   2.345E-02  2.815E-02  182.23 um    76.39 um    55.64 um  
  13.00 keV   2.441E-02  2.746E-02  197.20 um    81.30 um    59.49 um  
  14.00 keV   2.533E-02  2.681E-02  212.19 um    86.09 um    63.31 um  
  15.00 keV   2.622E-02  2.619E-02  227.20 um    90.78 um    67.09 um  
  16.00 keV   2.708E-02  2.560E-02  242.23 um    95.36 um    70.84 um  
  17.00 keV   2.791E-02  2.504E-02  257.26 um    99.85 um    74.55 um  
  18.00 keV   2.872E-02  2.451E-02  272.29 um   104.24 um    78.23 um  
  20.00 keV   3.027E-02  2.352E-02  302.34 um   112.73 um    85.50 um  
  22.50 keV   3.211E-02  2.241E-02  339.84 um   122.88 um    94.41 um  
  25.00 keV   3.389E-02  2.142E-02  377.18 um   132.53 um   103.11 um  
  27.50 keV   3.560E-02  2.052E-02  414.31 um   141.70 um   111.59 um  
  30.00 keV   3.720E-02  1.971E-02  451.20 um   150.44 um   119.87 um  
  32.50 keV   3.870E-02  1.897E-02  487.85 um   158.79 um   127.94 um  
  35.00 keV   4.011E-02  1.830E-02  524.28 um   166.78 um   135.81 um  
  37.50 keV   4.144E-02  1.767E-02  560.48 um   174.45 um   143.49 um  
  40.00 keV   4.270E-02  1.710E-02  596.47 um   181.82 um   150.99 um  
  45.00 keV   4.503E-02  1.607E-02  667.83 um   195.81 um   165.49 um  
  50.00 keV   4.717E-02  1.518E-02  738.34 um   208.85 um   179.36 um  
  55.00 keV   4.916E-02  1.440E-02  808.04 um   221.04 um   192.65 um  
  60.00 keV   5.101E-02  1.370E-02  876.94 um   232.49 um   205.40 um  
  65.00 keV   5.277E-02  1.308E-02  945.06 um   243.28 um   217.67 um  
  70.00 keV   5.444E-02  1.252E-02    1.011E3 um   253.48 um   229.49 um  
  80.00 keV   5.758E-02  1.156E-02    1.141E3 um   272.50 um   251.91 um  
  90.00 keV   6.051E-02  1.075E-02    1.271E3 um   289.69 um   272.84 um  
 100.00 keV   6.328E-02  1.006E-02    1.401E3 um   305.33 um   292.46 um  
 110.00 keV   6.592E-02  9.466E-03    1.521E3 um   319.63 um   310.91 um  
 120.00 keV   6.845E-02  8.947E-03    1.651E3 um   332.79 um   328.31 um  
 130.00 keV   7.090E-02  8.489E-03    1.761E3 um   344.94 um   344.75 um  
 140.00 keV   7.327E-02  8.081E-03    1.881E3 um   356.20 um   360.33 um  
 150.00 keV   7.559E-02  7.716E-03    2.001E3 um   366.67 um   375.12 um  
 160.00 keV   7.786E-02  7.386E-03    2.111E3 um   376.43 um   389.18 um  
 170.00 keV   8.010E-02  7.087E-03    2.221E3 um   385.57 um   402.57 um  
 180.00 keV   8.231E-02  6.814E-03    2.321E3 um   394.13 um   415.34 um  
 200.00 keV   8.667E-02  6.333E-03    2.531E3 um   410.18 um   439.20 um  
 225.00 keV   9.205E-02  5.830E-03    2.781E3 um   428.00 um   466.23 um  
 250.00 keV   9.735E-02  5.409E-03    3.021E3 um   443.49 um   490.60 um  
 275.00 keV   1.026E-01  5.051E-03    3.251E3 um   457.09 um   512.68 um  
 300.00 keV   1.078E-01  4.742E-03    3.471E3 um   469.12 um   532.79 um  
 325.00 keV   1.128E-01  4.472E-03    3.681E3 um   479.83 um   551.20 um  
 350.00 keV   1.178E-01  4.235E-03    3.881E3 um   489.43 um   568.10 um  
 375.00 keV   1.227E-01  4.024E-03    4.081E3 um   498.09 um   583.70 um  
 400.00 keV   1.275E-01  3.835E-03    4.271E3 um   505.95 um   598.14 um  
 450.00 keV   1.367E-01  3.511E-03    4.631E3 um   520.83 um   624.06 um  
 500.00 keV   1.456E-01  3.242E-03    4.971E3 um   533.42 um   646.72 um  
 550.00 keV   1.540E-01  3.015E-03    5.291E3 um   544.24 um   666.74 um  
 600.00 keV   1.621E-01  2.820E-03    5.591E3 um   553.65 um   684.60 um  
 650.00 keV   1.698E-01  2.651E-03    5.881E3 um   561.95 um   700.67 um  
 700.00 keV   1.772E-01  2.503E-03    6.161E3 um   569.33 um   715.23 um  
 800.00 keV   1.911E-01  2.256E-03    6.691E3 um   584.27 um   740.69 um  
 900.00 keV   2.038E-01  2.056E-03    7.191E3 um   596.69 um   762.34 um  
   1.001E3 keV   2.154E-01  1.892E-03    7.661E3 um   607.25 um   781.10 um  
   1.101E3 keV   2.261E-01  1.754E-03    8.101E3 um   616.43 um   797.60 um  
   1.201E3 keV   2.359E-01  1.636E-03    8.531E3 um   624.52 um   812.29 um  
   1.301E3 keV   2.448E-01  1.534E-03    8.941E3 um   631.76 um   825.52 um  
   1.401E3 keV   2.530E-01  1.446E-03    9.331E3 um   638.31 um   837.55 um  
   1.501E3 keV   2.605E-01  1.367E-03    9.721E3 um   644.30 um   848.57 um  
   1.601E3 keV   2.673E-01  1.298E-03   10.091E3 um   649.82 um   858.74 um  
   1.701E3 keV   2.734E-01  1.235E-03   10.461E3 um   654.96 um   868.20 um  
   1.801E3 keV   2.790E-01  1.179E-03   10.821E3 um   659.76 um   877.04 um  
   2.001E3 keV   2.886E-01  1.082E-03   11.521E3 um   672.18 um   893.17 um  
   2.251E3 keV   2.979E-01  9.820E-04   12.371E3 um   688.22 um   911.07 um  
   2.501E3 keV   3.048E-01  9.003E-04   13.191E3 um   702.81 um   927.07 um  
   2.751E3 keV   3.097E-01  8.321E-04   14.001E3 um   716.35 um   941.63 um  
   3.001E3 keV   3.130E-01  7.741E-04   14.801E3 um   729.13 um   955.08 um  
   3.251E3 keV   3.150E-01  7.242E-04   15.591E3 um   741.32 um   967.66 um  
   3.501E3 keV   3.160E-01  6.807E-04   16.381E3 um   753.08 um   979.53 um  
   3.751E3 keV   3.161E-01  6.425E-04   17.171E3 um   764.51 um   990.83 um  
   4.001E3 keV   3.156E-01  6.087E-04   17.951E3 um   775.69 um     1.001E3 um  
#-----------------------------------------------------------
# Multiply Stopping by        for Stopping Units
# -------------------        ------------------
#  1.0000E-01                 eV / Angstrom 
#  1.0000E+00                keV / micron   
#  1.0000E+00               1E3 keV /1E3 um       
#  2.2039E+01                keV / (ug/cm2) 
#  2.2039E+01               1E3 keV / (mg/cm2) 
#  2.2039E+04                keV / (mg/cm2) 
#  5.3687E+02                 eV / (1E15 atoms/cm2)
#  8.5251E+00                L.S.S. reduced units
# ==================================================================
# (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
