 100.00 keV   6.422E-02  1.021E-02    1.38 mm   300.85 um   288.17 um  
 110.00 keV   6.690E-02  9.607E-03    1.50 mm   314.95 um   306.36 um  
 120.00 keV   6.947E-02  9.080E-03    1.62 mm   327.91 um   323.50 um  
 130.00 keV   7.195E-02  8.615E-03    1.74 mm   339.88 um   339.70 um  
 140.00 keV   7.436E-02  8.201E-03    1.85 mm   350.97 um   355.05 um  
 150.00 keV   7.672E-02  7.830E-03    1.97 mm   361.29 um   369.62 um  
 160.00 keV   7.902E-02  7.496E-03    2.08 mm   370.92 um   383.48 um  
 170.00 keV   8.129E-02  7.192E-03    2.18 mm   379.91 um   396.67 um  
 180.00 keV   8.354E-02  6.915E-03    2.29 mm   388.35 um   409.26 um  
 200.00 keV   8.796E-02  6.427E-03    2.50 mm   404.17 um   432.76 um  
 225.00 keV   9.342E-02  5.917E-03    2.74 mm   421.72 um   459.40 um  
 250.00 keV   9.880E-02  5.489E-03    2.98 mm   436.99 um   483.41 um  
 275.00 keV   1.041E-01  5.126E-03    3.20 mm   450.39 um   505.17 um  
 300.00 keV   1.094E-01  4.812E-03    3.42 mm   462.24 um   524.98 um  
 325.00 keV   1.145E-01  4.539E-03    3.63 mm   472.80 um   543.12 um  
 350.00 keV   1.196E-01  4.298E-03    3.83 mm   482.26 um   559.78 um  
 375.00 keV   1.245E-01  4.084E-03    4.02 mm   490.79 um   575.14 um  
 400.00 keV   1.294E-01  3.892E-03    4.20 mm   498.53 um   589.38 um  
 450.00 keV   1.387E-01  3.563E-03    4.56 mm   513.20 um   614.92 um  
 500.00 keV   1.477E-01  3.290E-03    4.89 mm   525.60 um   637.24 um  
 550.00 keV   1.563E-01  3.060E-03    5.21 mm   536.26 um   656.97 um  
 600.00 keV   1.645E-01  2.862E-03    5.51 mm   545.54 um   674.57 um  
 650.00 keV   1.724E-01  2.691E-03    5.80 mm   553.71 um   690.40 um  
 700.00 keV   1.799E-01  2.541E-03    6.07 mm   560.98 um   704.74 um  
 800.00 keV   1.939E-01  2.289E-03    6.59 mm   575.70 um   729.83 um  
 900.00 keV   2.068E-01  2.087E-03    7.08 mm   587.94 um   751.17 um  
   1000 MeV   2.186E-01  1.920E-03    7.54 mm   598.35 um   769.65 um  
   1100 MeV   2.295E-01  1.780E-03    7.98 mm   607.39 um   785.90 um  
   1200 MeV   2.394E-01  1.660E-03    8.40 mm   615.37 um   800.38 um  
   1300 MeV   2.485E-01  1.557E-03    8.81 mm   622.50 um   813.42 um  
   1400 MeV   2.568E-01  1.467E-03    9.20 mm   628.96 um   825.27 um  
   1500 MeV   2.643E-01  1.388E-03    9.58 mm   634.86 um   836.13 um  
   1600 MeV   2.712E-01  1.317E-03    9.95 mm   640.30 um   846.16 um  
   1700 MeV   2.775E-01  1.254E-03   10.31 mm   645.36 um   855.47 um  
   1800 MeV   2.832E-01  1.197E-03   10.66 mm   650.09 um   864.18 um  
   2000 MeV   2.929E-01  1.098E-03   11.35 mm   662.33 um   880.08 um  
   2250 MeV   3.023E-01  9.967E-04   12.18 mm   678.13 um   897.72 um  
   2500 MeV   3.093E-01  9.137E-04   13.00 mm   692.51 um   913.48 um  
   2750 MeV   3.143E-01  8.444E-04   13.79 mm   705.85 um   927.83 um  
   3000 MeV   3.177E-01  7.856E-04   14.58 mm   718.44 um   941.08 um  
