# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> March 18, 2022 
# ==================================================================
#
# Disk File Name = SRIM Outputs\alpha_CO2_250mbar.dat.txt
#
# Ion = Helium [2] , Mass = 4.003 amu
#
# Target Density =  4.5375E-04 g/cm3 = 1.8627E+19 atoms/cm3
# Target is a GAS 
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#      C      6    033.33    027.29   
#      O      8    066.67    072.71   
# ====================================
# Bragg Correction = -3.46%
# Stopping Units = 1E3 keV /1E3 um       
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.308E-02  2.763E-03  500.32 um   212.09 um   184.51 um  
  11.00 keV   1.372E-02  2.622E-03  547.99 um   224.28 um   197.45 um  
  12.00 keV   1.433E-02  2.496E-03  594.95 um   235.66 um   209.77 um  
  13.00 keV   1.492E-02  2.384E-03  641.21 um   246.29 um   221.53 um  
  14.00 keV   1.549E-02  2.283E-03  686.79 um   256.27 um   232.78 um  
  15.00 keV   1.603E-02  2.192E-03  731.69 um   265.66 um   243.54 um  
  16.00 keV   1.656E-02  2.109E-03  775.94 um   274.51 um   253.86 um  
  17.00 keV   1.707E-02  2.032E-03  819.56 um   282.87 um   263.76 um  
  18.00 keV   1.757E-02  1.962E-03  862.56 um   290.78 um   273.28 um  
  20.00 keV   1.852E-02  1.837E-03  946.82 um   305.47 um   291.30 um  
  22.50 keV   1.964E-02  1.705E-03    1.051E3 um   321.94 um   312.08 um  
  25.00 keV   2.070E-02  1.592E-03    1.151E3 um   336.65 um   331.18 um  
  27.50 keV   2.170E-02  1.495E-03    1.241E3 um   349.89 um   348.85 um  
  30.00 keV   2.265E-02  1.411E-03    1.341E3 um   361.89 um   365.28 um  
