 100.00 keV   4.200E-02  6.038E-04    3.27 mm   503.21 um   594.82 um  
 110.00 keV   4.398E-02  5.616E-04    3.49 mm   513.02 um   613.10 um  
 120.00 keV   4.586E-02  5.255E-04    3.71 mm   521.69 um   629.65 um  
 130.00 keV   4.764E-02  4.941E-04    3.91 mm   529.44 um   644.74 um  
 140.00 keV   4.933E-02  4.666E-04    4.11 mm   536.43 um   658.59 um  
 150.00 keV   5.094E-02  4.423E-04    4.30 mm   542.77 um   671.39 um  
 160.00 keV   5.247E-02  4.205E-04    4.49 mm   548.57 um   683.27 um  
 170.00 keV   5.394E-02  4.011E-04    4.67 mm   553.90 um   694.35 um  
 180.00 keV   5.533E-02  3.834E-04    4.85 mm   558.83 um   704.72 um  
 200.00 keV   5.793E-02  3.529E-04    5.19 mm   568.68 um   723.67 um  
 225.00 keV   6.087E-02  3.214E-04    5.61 mm   579.91 um   744.61 um  
 250.00 keV   6.353E-02  2.954E-04    6.00 mm   589.69 um   763.13 um  
 275.00 keV   6.597E-02  2.737E-04    6.38 mm   598.33 um   779.74 um  
 300.00 keV   6.818E-02  2.552E-04    6.75 mm   606.08 um   794.79 um  
 325.00 keV   7.018E-02  2.392E-04    7.10 mm   613.11 um   808.56 um  
 350.00 keV   7.198E-02  2.252E-04    7.45 mm   619.55 um   821.27 um  
 375.00 keV   7.360E-02  2.129E-04    7.79 mm   625.51 um   833.07 um  
 400.00 keV   7.506E-02  2.020E-04    8.12 mm   631.06 um   844.12 um  
 450.00 keV   7.754E-02  1.834E-04    8.77 mm   644.39 um   864.31 um  
 500.00 keV   7.950E-02  1.681E-04    9.40 mm   656.44 um   882.50 um  
 550.00 keV   8.101E-02  1.554E-04   10.02 mm   667.53 um   899.14 um  
 600.00 keV   8.214E-02  1.446E-04   10.63 mm   677.87 um   914.57 um  
 650.00 keV   8.294E-02  1.353E-04   11.23 mm   687.65 um   929.01 um  
 700.00 keV   8.346E-02  1.272E-04   11.83 mm   696.98 um   942.67 um  
 800.00 keV   8.381E-02  1.137E-04   13.02 mm   724.45 um   968.17 um  
 900.00 keV   8.262E-02  1.030E-04   14.22 mm   750.76 um   992.01 um  
   1000.00 MeV   8.100E-02  9.427E-05   15.43 mm   776.68 um     1.01 mm  
   1100.0 MeV   7.911E-02  8.698E-05   16.68 mm   802.56 um     1.04 mm  
   1200.0 MeV   7.708E-02  8.079E-05   17.95 mm   828.63 um     1.06 mm  
   1300.0 MeV   7.497E-02  7.548E-05   19.27 mm   855.08 um     1.08 mm  
   1400.0 MeV   7.286E-02  7.087E-05   20.62 mm   882.01 um     1.10 mm  
   1500.0 MeV   7.077E-02  6.682E-05   22.00 mm   909.53 um     1.12 mm  
   1600.0 MeV   6.874E-02  6.323E-05   23.43 mm   937.69 um     1.15 mm  
   1700.0 MeV   6.685E-02  6.004E-05   24.91 mm   966.50 um     1.17 mm  
   1800.0 MeV   6.504E-02  5.717E-05   26.42 mm   995.97 um     1.19 mm  
   2000.0 MeV   6.164E-02  5.222E-05   29.57 mm     1.10 mm     1.24 mm  
   2250.0 MeV   5.783E-02  4.719E-05   33.75 mm     1.27 mm     1.30 mm  
   2500.0 MeV   5.447E-02  4.309E-05   38.20 mm     1.43 mm     1.37 mm  
   2750.0 MeV   5.149E-02  3.968E-05   42.91 mm     1.59 mm     1.44 mm  
   3000.0 MeV   4.884E-02  3.680E-05   47.89 mm     1.75 mm     1.51 mm  
   3250.0 MeV   4.648E-02  3.433E-05   53.13 mm     1.92 mm     1.59 mm  
   3500.0 MeV   4.435E-02  3.218E-05   58.63 mm     2.08 mm     1.68 mm  
   3750.0 MeV   4.243E-02  3.031E-05   64.38 mm     2.25 mm     1.76 mm  
   4000.0 MeV   4.069E-02  2.865E-05   70.39 mm     2.42 mm     1.85 mm  
   4500.0 MeV   3.765E-02  2.585E-05   83.15 mm     3.05 mm     2.05 mm  
   5000.0 MeV   3.507E-02  2.357E-05   96.90 mm     3.65 mm     2.27 mm  
   5500.0 MeV   3.286E-02  2.168E-05  111.61 mm     4.23 mm     2.50 mm  
   6000.0 MeV   3.094E-02  2.009E-05  127.27 mm     4.80 mm     2.74 mm  
